comapnyName,datePublished,ratingValue,reviewBody
Udemy,2023-01-29T07:12:11.000Z,1,"website experience is horrible, no one wants your stuupid pop ups, yes they are yours, its so stupid to have a popup to add to the cart, it obscures the pageview, hire competent designers not low iq morons who dont understand basic design/marketing principals."
Udemy,2023-01-27T21:27:59.000Z,1,"I bougth a course ""AZ-900 Azure Fundamentals 2021 + FREE AZ-900 CERTIFICATION"" under the T&C ""lifetime access"" and this company simply took away the course, it is not available anymore, did not inform, no refund, no communication at all! Now that I need to prepare myself for the real Microsoft Exam , I have nothing! Appaling! Please, stay away and do not trust this company! Wast of your money! ""Dishonesty"" light flashing warning!"
Udemy,2023-01-25T17:49:17.000Z,1,"Poor quality teaching. For work update skills, I enrolled on a few courses yet they were below standard. One chap was always referring to his book, and saying ""I'll talk about that"" etc yet would then talk from his book. Unsure at what point he'd ""talk about that"" bit he was referring to. Following a refund request, udemy credited my account. Today I ask them to refund me as a credit means they hold MY money. Udemy said the 30 day rule meant they were unable to refund me. I enrolled on at least two or three courses, yet really, the standard was quite poor."
Udemy,2023-01-23T08:08:42.000Z,1,"I spent over a hundred dollars on courses for my daughters and they didn't start the courses right away and when they went to, they couldn't. I wrote them. I sent copies of my bank statement to show where I paid. And for each course. There were quite a few. I did everything but they wouldn't tell me how they girls could get into the courses I purchased and they wouldn't refund my money. I think it's a scam. If you get a course, better start it right away or they'll take it away from you. Over a hundred dollars wasted. And they didn't care. Worst customer service ever. Worst online shopping experience ever. Waste of money. Waste of time. I recommend looking elsewhere and not to sign up for any classes here. I would give zero stars if I could."
Udemy,2023-01-19T22:20:17.000Z,1,"CAUTION - BUYER BEWAREI went to purchase a course whilst logged onto my account, it was £59.99, however when I searched for the same course in google and clicked the link without signing into my account, it was £15.99.This seems to happen all the time so take my advice, don't login to buy a course."
Udemy,2023-01-16T12:54:21.000Z,2,I've been a long time user but recently I was locked out of my main account and I lost my purchased courses and this is where everything is jacked up... NO ACTUAL WAY TO GET SUPPORT!! I've spent at least $150 or more than that on courses that I can't access now. NOT COOL UDEMY!!!
Udemy,2023-01-18T20:21:13.000Z,1,"Try to cancel subscription on correct calendar day, but was informed that it has to be by a certain time. This company obviously makes its money by fraud and deception. No customer service. No way to resolve."
Udemy,2023-01-11T12:16:04.000Z,3,"Indeed, Udemy helped me to become a self-taught web designer, but they often praise and hype mediocre courses on their landing page. Initially, I wasted a lot of money on courses with high ratings to discover that their contents were redundant to others. Meanwhile, I turned away from their online tutorials because some of Udemy's teachers generate themselves as superstars, at least the ones listed as the most popular. I'm an online teacher myself (not on Udemy), but I try to stay more down-to-earth."
Udemy,2023-01-13T09:16:16.000Z,4,"Indeed,Thinks/ Udemy Call Toll Free 97495 50565 Mondays and Fridays  helped me to become a self-taught web designer, but they often praise and hype mediocre courses on their landing page. Initially, I wasted a lot of money on"
Udemy,2023-01-09T00:18:44.000Z,1,"Course advertised at one price...'almost' signed up...looked at my cart...tried to charge me over six times as much! Confused...went back to webpage (today's date), course advertised at one price...went to cart to purchase course...tried to charge over six times as much!...didn't sign up, didn't enter any card details, removed all courses from cart (said '0 courses selected) and closed website! 'Dynamic pricing' right? SAD!"
Udemy,2023-01-08T11:15:24.000Z,1,"Promised one price for new students so I signed up. Once I signed up, the price was four times as much. Shady business practices to gain access to email addresses in my opinion. Customer service gives boiler plate responses that are largely irrelevant. Absolutely disgraceful business, avoid."
Udemy,2023-01-14T09:41:29.000Z,1,"Bought 6 courses DR. Bright. This person,better don't say anything else, after 2 months decided to cancel all his courses. I lost just time, Udemy did stupid refund, without consider the damage that I got, I have 20hr note without finish any course, and I now I have to start with another one. First Dr. Bright should be Ban, He need refund the damage to the people that already bought his courses. Second , I don't have trust anymore in Udemy because , you buy a course, and in any moment the tutor can cancel the course. You have just lose money and time.After some investigation, I contacted Dr. Bright who told that in reality ""Udemy have cancel his course in one night"". This is agaist the contract, can take legal action , Udemy garante the life access to their courses, in this case, they have cancel what I have already paid."
Udemy,2022-12-28T15:19:15.000Z,1,"UDEMY IS THE WORST LEARNING PLATFORM! stay away as they're deleting your courses (that you already paid!), have no-existent customer support, so good luck getting any reply from their side. Literally such a disappointment and truly cannot and would not recommend it to anyone! There's plenty alternatives out there, so avoid this scam if you don't want to have your money taken and be left empty handed!"
